sentence1,sentence2,score
Một đứa trẻ chơi với một chiếc điện thoại đồ chơi.,Một cậu bé chơi với một chiếc điện thoại đồ chơi.,3.5
Một người đàn ông đang đi xe máy.,Một người đàn ông đang cưỡi ngựa.,1.4
Một người đàn ông đang đi xe máy.,Một người đàn ông đang cưỡi ngựa.,1.4
Một con sóc đang quay vòng tròn.,Một con sóc chạy xung quanh trong vòng tròn.,4.0
Một người đàn ông và một người phụ nữ đang hôn nhau.,Một người đàn ông và một người phụ nữ hôn nhau.,5.0
Một người đàn ông đang lên xe.,Một người đàn ông đang lên xe trong gara.,3.833
Một người đàn ông đang nhảy múa.,Một người đàn ông đang nói.,0.6
Một người đàn ông đang chơi guitar và hát.,Một người đàn ông đang chơi guitar.,2.917
Một người đang cắt nấm.,Một người đang cắt nấm bằng dao.,4.2
Một con hổ con đang phát ra âm thanh.,Một con hổ đang đi bộ xung quanh.,2.0
Một người đang cắt hành tây.,Một người đang bóc vỏ hành tây.,2.6
Một người đàn ông đang chơi piano.,Một người đàn ông đang thổi kèn.,1.6
Một người phụ nữ đang gọt vỏ khoai tây.,Một người phụ nữ đang gọt một quả táo.,2.0
Một con gấu trúc đang ăn tre.,Một con gấu trúc đang ăn một ít tre.,4.2
Một người đang bóc vỏ hành tây.,Một người đang gọt vỏ cà tím.,2.0
Một con khỉ đẩy một con khỉ khác.,Con khỉ đẩy con khỉ kia.,4.8
Một con sóc chạy xung quanh trong vòng tròn.,Một con sóc đang di chuyển theo vòng tròn.,4.4
Một người đàn ông đang buộc dây giày.,Một người đàn ông buộc giày.,5.0
Một cậu bé đang hát và chơi piano.,Một cậu bé đang chơi piano.,3.0
Một đang ăn dưa hấu.,Một đang ăn một miếng dưa hấu.,4.25
Một người phụ nữ đang cắt bông cải xanh.,Một người phụ nữ đang cắt bông cải xanh bằng dao.,4.25
Một người đàn ông đang gọt vỏ khoai tây.,Một người đàn ông gọt vỏ khoai tây.,3.8
Một người phụ nữ đang chơi guitar.,Một người đàn ông chơi guitar.,2.4
Một người phụ nữ đang thái cà chua.,Một người đàn ông đang cắt hành tây.,1.6
Một người đàn ông bơi dưới nước.,Một người phụ nữ đang bơi dưới nước.,2.0
Một người đàn ông và một người phụ nữ đang nói chuyện.,Một người đàn ông và một người phụ nữ đang ăn.,1.6
Một nhỏ đang đuổi theo một quả bóng yoga.,Một đang đuổi theo một quả bóng.,4.0
Những người đàn ông đang chơi cricket.,Những người đàn ông đang chơi bóng rổ.,2.2
Một người đàn ông đi xe máy.,Một người đàn ông đi xe máy.,4.4
Một người đàn ông đang chơi guitar.,Một người đàn ông đang hát và chơi guitar.,3.6
Người đàn ông nói chuyện điện thoại.,Người đàn ông đang nói chuyện điện thoại.,3.6
Một người đàn ông đang câu cá.,Một người đàn ông đang tập thể dục.,0.5
Một người đàn ông đang bay lên.,Một người đàn ông đang nói.,0.8
Hai cậu bé đang lái xe.,Hai vịnh đang nhảy múa.,0.6
Một người đàn ông đang cưỡi trên một con ngựa.,Một cô gái đang cưỡi ngựa.,2.6
Một người đàn ông đang đi xe đạp.,Một con khỉ đang đi xe đạp.,2.0
Một người đàn ông đang cắt khoai tây.,Một người phụ nữ đang gọt vỏ khoai tây.,2.2
Một người phụ nữ đang gọt vỏ khoai tây.,Một người đàn ông đang cắt khoai tây.,2.4
Một người đàn ông đang chơi guitar.,Someoen đang chơi guitar.,3.6
Một người phụ nữ đang cắt tỏi tây.,Một người phụ nữ đang cắt gừng.,2.2
Người đàn ông cắt một tấm giấy.,Một người đàn ông đang cắt một tấm giấy.,4.8
Người đàn ông đang chơi guitar.,Một người đàn ông đang thổi sáo.,1.643
Một người đàn ông đang chơi piano.,Người đàn ông đang chơi violin.,1.75
Một người phụ nữ đang cắt một ít thịt.,Một người phụ nữ đang làm bánh mì một ít thịt.,2.25
Một người đàn ông đang chơi trên bàn phím của mình.,Một người đàn ông đang chơi đàn piano keyboard.,4.0
Người phụ nữ băm nhỏ hành lá.,Người phụ nữ cắt một củ hành lá.,4.8
Ai đó đang ngồi mì trong nước.,Một người phụ nữ đang luộc mì trong nước.,3.2
Lionel Richie đang nhảy múa trên trần nhà.,Lionel Ritchie nhảy múa khi đứng trên trần nhà.,4.0
Một người đàn ông đang chơi piano.,Một người đang chơi piano.,4.4
Một người phụ nữ đang thổi sáo.,Một người phụ nữ thổi sáo.,4.6
Một cậu bé đang kiểm tra lịch.,Một cậu bé đang nhìn vào một cuốn lịch.,3.8
Một người phụ nữ đang cắt một củ hành tây.,Một người phụ nữ đang cắt hành tây.,4.8
Một người đàn ông đang chơi guitar.,Một người đàn ông chơi guitar.,4.857
Một người phụ nữ đang sử dụng máy may.,Một người phụ nữ đang may trên máy.,5.0
Một người phụ nữ đang lật bánh kếp.,Một đầu bếp hoạt hình đang lật bánh kếp.,2.533
Một người đàn ông đang chạy trên đường.,Một chiếc ô tô đang lái trên đường.,1.0
Một người đàn ông đang cưỡi trên một con ngựa.,Một người đàn ông đang nói chuyện điện thoại.,1.0
Một người đàn ông đang đi xe đạp.,Một người đàn ông đang cưỡi trên một con ngựa.,2.0
Một người phụ nữ đang nhảy múa.,Một người đàn ông đang ăn.,0.143
Một người đàn ông đang chơi piano.,Một người đàn ông đang thổi sáo.,2.0
Một người đàn ông đang thổi sáo.,Một người đàn ông đang chơi piano.,1.6
Một người đàn ông đang quay.,Một người đàn ông đang nhảy múa.,1.6
Một con khỉ đang đung đưa từ chân tay này sang chi khác.,Một con khỉ đang đu từ cây này sang cây khác.,3.4
Mọi người xuống tàu.,Mọi người xuống tàu tại nhà ga.,4.0
Một đang nhảy trên tấm bạt lò xo.,Một nảy trên tấm bạt lò xo.,4.8
Một cậu bé đang chơi một nhạc cụ.,Một người đàn ông đang chơi kèn.,2.5
Một người phụ nữ chơi guitar.,Một người đàn ông hát và chơi guitar.,1.75
Một người phụ nữ đang chọn một lon.,Một người phụ nữ đang cắt một quả cà chua.,1.0
Một người đàn ông đang trèo lên một sợi dây.,Một người đàn ông trèo lên một sợi dây.,5.0
Một người đàn ông đang nâng một chiếc xe hơi.,Một người đàn ông đang trèo tường.,1.4
Một người đàn ông và một người phụ nữ đang lái xe jeep xuống phố.,Một người đàn ông và một phụ nữ đang lái xe trên đường trong một chiếc xe ngoài trời.,4.0
Người đàn ông cởi trần ngồi trên ghế.,Một người đàn ông cởi trần đang ngồi trên ghế.,3.8
Hai người phụ nữ đang đấu vật.,Hai người phụ nữ đang vật lộn trên sàn nhà.,4.0
con chơi với một quả bóng tennis màu xanh.,Một con đang chơi với một quả bóng tennis.,4.0
Một con kangroo đang ăn một cái gì đó.,Một con kangaroo đang ăn.,4.8
Một con mèo đang chơi piano.,Một người đàn ông đang chơi guitar.,0.6
Người đàn ông dùng dao cắt một ít thảm.,Một người đàn ông đang cắt thảm bằng dao.,4.75
Một người phụ nữ đang đi xe tay ga có động cơ xuống đường.,Một người đàn ông đang đi xe máy.,2.2
Ai đó đang cắt một loại rau.,Ai đó đang cắt một quả cà chua.,3.0
Một người phụ nữ đang nhảy múa.,Một người đàn ông đang nói.,0.0
Một liếm nước dãi của em bé.,Một liếm một em bé.,2.2
Một người đàn ông đang chèo thuyền.,Một người đàn ông đang cắt một quả cà chua.,0.4
Một người đàn ông cắt khoai tây.,Một người đàn ông cắt khoai tây.,4.8
Một người phụ nữ đang băm tỏi.,Người phụ nữ đang thái tỏi.,4.8
Một con vật chạy theo vòng tròn.,Một con sóc chạy theo vòng tròn.,3.8
Một người đàn ông đang chậm rãi đi qua một cây cầu dây.,Một cậu bé đang đi bộ qua một cây cầu.,3.0
Một người đàn ông đang chơi guitar.,Một người đàn ông ngồi trong phòng đang chơi guitar.,4.0
Một người đàn ông thổi sáo.,Một người đàn ông đang thổi sáo.,5.0
Một người phụ nữ đập hai quả trứng vào bát thủy tinh.,Một người phụ nữ đang đập một quả trứng vào bát.,3.8
Một người đàn ông đang cắt một con cá.,Một người đàn ông rút ruột một con cá.,3.0
Hai người đàn ông đang đóng gói vali vào cốp xe.,Những người đàn ông đang đặt vali vào cốp xe.,4.4
Một người đàn ông đổ dầu lên một ít cà chua.,Người đàn ông đổ dầu lên cà chua đã cắt.,3.8
Một người đàn ông đang cắt một cái gì đó.,Một người đàn ông đang cắt một chiếc bánh.,3.0
Một người đàn ông đang chèo xuồng.,Một người đàn ông đang chơi đàn hạc.,0.667
Một người đàn ông và một người phụ nữ đang đi bộ cùng nhau trong rừng.,Một người đàn ông và một người phụ nữ đang tay trong tay đi qua một khu rừng.,4.0
Người phụ nữ nhặt con kangaroo lên.,Một người phụ nữ nhặt một con kangaroo con.,3.75
Cá đang bơi.,Một con cá đang bơi.,4.133
Hai người phụ nữ trộn một cái gì đó trong một bộ xử lý thực phẩm.,Hai người phụ nữ làm một cái gì đó trong máy xay.,4.0
Một người đang lướt một con sóng lớn.,Một người đang lướt sóng.,3.6
Một người đàn ông đang chơi guitar.,Một người đàn ông đang đâm một mục tiêu.,1.2
Một người đàn ông đang thổi sáo trong một ban nhạc.,Một người đàn ông đang chơi guitar.,1.6
Người đàn ông phết bơ lên ổ bánh mì.,Một người đàn ông đang phết bơ lên bánh mì.,4.0
Một người đang luộc mì.,Một người phụ nữ đang luộc mì trong nước.,4.0
Một nhóm người nhảy múa trên một ngọn đồi.,Một nhóm người đang nhảy múa.,3.2
Một người đàn ông đang nhảy múa bên ngoài.,Một người đàn ông đang thổi sáo.,1.0
Một người phụ nữ đang cho một người đàn ông ăn.,Một người phụ nữ đang trộn thịt.,1.0
Một người đàn ông đang đặt chảo vào lò nướng.,Một người phụ nữ đang cắt một củ hành tây.,0.6
Một người phụ nữ đang ngồi ở bàn làm việc.,Một người phụ nữ đang cưỡi lừa.,0.4
Nhân viên y tế vận chuyển một bệnh nhân trên cáng.,Một bác sĩ đưa bệnh nhân lên cáng.,3.4
Một người phụ nữ đang thổi sáo trên sân khấu.,Người phụ nữ đang thổi sáo.,3.6
Hai chú gấu trúc con đang chơi đùa.,Hai con gấu trúc đang nằm cùng nhau.,3.0
Một đứa bé đang cười.,Một em bé đang cười và cười khúc khích.,4.0
Một người đàn ông đang chơi guitar.,Một cậu bé đang chơi piano.,1.2
Một người đàn ông đang gấp giấy.,Một người phụ nữ đang cắt một hạt tiêu.,0.6
Ba người phụ nữ đang nhảy múa.,Người đàn ông đang nhảy múa.,1.6
Những con mèo đang chơi với nhau.,Hai con mèo đang chiến đấu với nhau.,2.6
Một người đang viết.,Một người đang viết bằng bút chì.,3.6
Một người đàn ông đang chạy.,Một người đàn ông đang chạy xuống đường.,3.5
Người phụ nữ đang cán bột.,Một người phụ nữ đang bột và cán bột.,3.765
Một người phụ nữ đang thêm gia vị vào thịt.,Người phụ nữ đang thêm đường vào thịt.,2.75
Một người phụ nữ đang thêm dầu vào cá.,Một người phụ nữ đang đổ nước lên cá.,2.25
Một cậu bé đang cầm một cây đàn guitar.,Một cậu bé đang chơi guitar.,2.75
Một con báo đang chạy.,Một con báo đang chạy trên một cánh đồng.,3.8
Người đàn ông đang ăn pizza.,Một người đàn ông đang ăn một lát bánh pizza.,4.8
Một con đười ươi đang đi xe buýt.,Một con khỉ đang đi trên xe buýt.,3.6
Một người đàn ông và một người phụ nữ nói chuyện trong một quán ăn.,Một người đàn ông và một người phụ nữ đang đi trên một chiếc xe đạp.,1.2
Một người đàn ông đang chơi guitar.,Một người đàn ông đang lau cửa kính.,0.4
Một cô gái đang hát và chơi guitar.,Một chàng trai trẻ đang hát trong khi chơi guitar.,2.4
Một cô gái đang giao tiếp bằng ngôn ngữ ký hiệu.,Một cô gái trẻ đang sử dụng ngôn ngữ ký hiệu.,3.941
Một người phụ nữ đang tập tạ.,Một người phụ nữ đang làm tóc.,0.5
Một người đàn ông đang vào trong xe.,Một người đàn ông lớn tuổi đang bước vào một chiếc xe màu đỏ.,3.75
Một quả bóng lớn màu xanh lá cây làm đổ một củ khoai tây.,Một quả bóng lớn màu xanh lá cây chạm vào một củ khoai tây.,4.0
Một con mèo đang chơi bàn phím.,Một con mèo đang chơi piano.,3.0
Hai bơi trong một hồ bơi.,Chó đang bơi trong hồ bơi.,4.2
Người đàn ông đã dùng dao băm để cắt hành tây.,Người đàn ông đã sử dụng máy để cắt một củ khoai tây.,2.0
Một người phụ nữ cắt đậu phụ.,Một người phụ nữ đang cắt đậu phụ.,5.0
Một đàn hươu đang băng qua đường.,Một đàn caribou đang băng qua đường.,3.0
Người đang cưỡi ngựa.,Một người đàn ông đang cưỡi ngựa.,3.8
Ai đó đang cho một con vật ăn.,Ai đó đang chơi piano.,0.0
Ai đó đang cắt bánh tortila.,Ai đó đang cưỡi ngựa.,0.0
Ai đó đang trộn lẫn các thành tựu.,Ai đó đang may đồ.,0.25
Một con gà trống mổ vào một con chuột chết.,Một con gà đang mổ vào một con chuột chết.,4.0
Một người phụ nữ cầm một con chuột túi.,Một người phụ nữ đang nhặt một con chuột túi.,3.25
Một người đàn ông đang chơi với ếch,Một con mèo đang chơi với một chiếc máy ảnh.,0.75
Hai người đàn ông đang nói chuyện.,Hai người đàn ông đang chơi guitar.,1.5
Một người đàn ông phết bơ lên một miếng bánh mì lớn.,Một người đàn ông đang bôi bơ lên một lát bánh mì tỏi.,3.5
Một người đàn ông đang chạy qua một sợi dây cao.,Một người đàn ông đang chạy trên dây thừng.,3.0
Một người đàn ông đang cắt cỏ.,Một người phụ nữ đang cắt một quả chanh.,0.2
Một người đàn ông đang mở một cánh cửa.,Một người đàn ông đang chơi guitar.,0.8
Một người đàn ông đang cắt một củ khoai tây thành miếng.,Một người đàn ông đang cắt một củ khoai tây.,4.2
Người phụ nữ đang cắt bạch tuộc nấu chín.,Một người phụ nữ đang chặt bạch tuộc.,3.8
Một người đàn ông đang đấm xuyên qua các tấm ván.,Một đang chạy trong nước.,0.4
Một người đàn ông đang nhảy múa.,Một người đàn ông đang ăn bánh mì.,0.8
Ai đó đang chơi piano.,Một người đàn ông đang chơi guitar.,1.2
Hai con cáo đang ăn từ một cái đĩa trên sân gạch.,Cáo đang ăn từ đĩa.,2.8
Một cậu bé đang chơi bảng phím.,Một cậu bé đang chơi piano.,3.2
Một người chơi bàn phím.,Ai đó đang chơi bàn phím.,5.0
Một người đàn ông đang bắn súng.,Một người đàn ông đang khạc nhổ.,0.0
Ai đó đang cắt một củ hành tây.,Someoen đang gọt vỏ khoai tây.,1.0
Một người đàn ông đang bơi.,Một người phụ nữ đang thái thịt.,0.0
Một người đàn ông đang chơi guitar.,Một người đàn ông chơi guitar acoustic.,3.75
Một người phụ nữ đang cắt một quả bí ngô.,Một người phụ nữ đang cưỡi một con voi.,0.4
Một người phụ nữ đang nhảy múa.,Một người phụ nữ đang nhào bột.,0.4
Một người phụ nữ đang đập trứng vào bát.,Một người phụ nữ đang đặt xiên lên giá.,0.6
Một chiếc ô tô đang di chuyển qua một con đường.,Một chiếc ô tô đang lái trên đường.,4.0
Ai đó đang bôi trơn chảo.,Smeone đang nằm.,0.4
Một người đàn ông đang chơi guitar.,Một người đàn ông đang rút mì ống.,0.4
Một người phụ nữ đang uống vodka.,Một người phụ nữ đang tập thể dục.,0.4
Một người phụ nữ đang cắt thịt thành miếng.,Một người phụ nữ đang cắt một ít thịt.,4.8
Một người đàn ông đang rửa bít tết.,Một người đàn ông đang chơi guitar.,0.6
Một người đàn ông đang bán các mặt hàng.,Một người đàn ông đang dọn dẹp nhà cửa.,0.8
Một người đàn ông đang nhảy tường.,Một người đàn ông nhảy lên một bức tường ngắn.,3.2
Người chạy đua quanh một đường đua.,Các vận động viên thi đấu trong một cuộc đua.,3.2
Một người đàn ông đang đá một quả bóng đá.,Một người đàn ông đang trộn một cái bát.,0.6
Một người phụ nữ đang chiên một cái gì đó.,Một người phụ nữ đang cưỡi ngựa.,0.6
Một con mèo đang liếm một cái mút.,Một người phụ nữ đang cắt dưa chuột.,0.0
Một người phụ nữ đang nhảy múa bên đống lửa.,Một người phụ nữ đang tắm.,1.4
Người đàn ông đang cắt một con cá ra.,Một người đàn ông đang cắt một củ khoai tây.,2.2
Bơ đang tan chảy trong chảo.,Một người đàn ông đang nấu chảy bơ trong chảo.,3.6
Ba cậu bé đang nhảy múa.,Trẻ em đang nhảy múa.,3.111
Một người phụ nữ đang chơi một trò chơi với một người đàn ông.,Một người đàn ông đang chơi piano.,0.6
Người đàn ông đang lái một chiếc ô tô màu trắng.,Một người đàn ông đang trả lời phỏng vấn.,0.4
Một người đàn ông lái xe của mình.,Một người đàn ông đang lái xe.,4.25
Một chiếc ô tô lùi ra khỏi một khoảng trống.,Một chiếc ô tô đang lùi ra khỏi làn đường bị chặn.,3.0
Một người đàn ông đặt một ít phô mai lên bánh pizza.,Người đàn ông rắc phô mai lên bánh pizza.,5.0
Cậu bé đang chơi piano.,Một cậu bé chơi piano.,5.0
Người đàn ông chơi guitar của mình.,Một người đàn ông đang chơi guitar.,3.75
Một người đàn ông đang cưỡi ngựa.,Một người đàn ông đang chơi đàn phím.,0.2
Một người đàn ông đang đi trên một sợi dây.,Một người đàn ông đang cưỡi mo-pad.,0.4
Một cô gái đang thổi sáo.,Một ban nhạc đang chơi trên sân khấu.,1.286
Mọi người bước xuống tàu.,Một nhóm người xuống tàu.,4.6
Một người phụ nữ đang may trên máy.,Một người phụ nữ đang làm bánh mì một ít thịt.,0.6
Một đang nhìn vào bể bơi.,Một đang đi dạo quanh hồ bơi.,2.0
Một người đàn ông đang bơ một miếng bánh mì.,Một người đàn ông đang thoa bơ lên bánh mì.,5.0
Một người đàn ông đang cắt cà chua thành miếng.,Một người phụ nữ đang cắt một số loại rau.,1.8
Ba cô gái tuổi teen nhảy múa trong phòng.,Một số cô gái tuổi teen đang nhảy múa trước ống kính.,2.4
Một con sư tử đang đi bộ.,Một con sư tử đang bước đi trong một cây bút.,2.4
Một người đàn ông bắn một chiếc ô tô.,Một người đàn ông đang cắt một củ khoai tây.,0.4
Một con ngựa đen đang chạy xung quanh.,Con ngựa đang chạy.,4.2
Một người phụ nữ đang bóc lột tôm.,Một người đàn ông đang nhảy múa trong mưa.,0.0
Một người đàn ông đang cưỡi ngựa.,Một người phụ nữ đang giặt tủ đông.,0.0
Một người đàn ông bước xuống một con đường.,Một người đàn ông đi ngang qua một sợi dây thừng chặt.,0.8
Một người đàn ông đang cắt một củ khoai tây.,Một người phụ nữ đang cắt một cây jalepeno.,1.4
Một đang sủa vào một quả bóng.,Một bơi sau một quả bóng tennis.,1.5
Một đứa trẻ chạy trốn khỏi một con cá đu đưa trên cần câu.,Một đứa trẻ đang chạy quanh cần câu.,2.5
Một người đàn ông đang đi dọc theo một con đường xuyên qua vùng hoang dã.,Một người đàn ông đang đi bộ trên đường.,2.5
Một người đàn ông lớn tuổi đang phát biểu tại bục giảng.,Một người đàn ông đang phát biểu tại bục giảng.,3.5
Một người đàn ông cưỡi ngựa quay chậm.,Một người đàn ông đang cưỡi trên một con ngựa.,3.4
Một người đang cắt một ít phô mai burrata.,Người đang cắt phô mai.,3.8
Người đàn ông đang bắn một khẩu súng trường tự động.,Một người đàn ông đang bắn súng.,3.8
Một người đàn ông đang nghiền tỏi bằng mặt sau của một con dao.,Một người phụ nữ đang cắt thịt bằng dao.,1.5
Một người phụ nữ đang giũa móng tay của mình bằng một tấm bảng nhám.,Một người phụ nữ đang cho con bú bình sữa.,0.5
Một người đàn ông đang cưỡi ván trượt.,Một người phụ nữ đang cắt một củ khoai tây.,0.0
Một người phụ nữ đang tắm.,Một người đàn ông đang cưỡi một con ngựa trắng.,0.0
Một người đàn ông đang nhảy múa.,Một người đàn ông đang cưỡi ngựa.,0.8
Một người đàn ông đang chèo thuyền.,Một người đàn ông đang bắn một khẩu súng.,0.85
Một người đàn ông đang đu dây thừng gắn trên trần nhà.,Một người đàn ông đang đu trên một sợi dây.,3.4
Một người phụ nữ đang cưỡi ngựa trên bãi biển.,Một người đàn ông đang cõng một người đàn ông khác trên lưng.,0.4
Một người đàn ông cầm một con vật nhỏ trong một tay.,Một người đàn ông khoe một con khỉ nhỏ.,1.75
Một người đang gấp một mảnh giấy vuông.,Một người đàn ông đang gấp giấy.,3.25
Một người đang chiên thịt trong chảo.,Một người đang cầm một con chồn hôi.,0.75
Một con tinh tinh đang làm tổn thương một người phụ nữ.,Một người đàn ông đang lái xe.,0.0
Người phụ nữ đang bóc tôm.,Người đàn ông đang cầm một con vượn cáo.,0.0
Hai con ngựa vằn đang chơi.,Ngựa vằn đang giao lưu.,4.25
Một người phụ nữ đang cắt bơ.,Một người phụ nữ cắt đậu phụ.,1.8
Một số người đàn ông đang chơi guitar.,Ba người đàn ông đang chơi guitar và hát cùng nhau.,3.2
Những con voi phun nước lên mình.,Voi tự phun nước.,3.6
Một ngồi ở quầy của một cửa hàng.,đang đứng ở quầy.,2.6
Ai đó khoan một lỗ trên dải gỗ bằng máy khoan điện.,Một người đàn ông khoan một lỗ trên một mảnh gỗ.,3.2
Một người phụ nữ đang cắt một số loại rau.,Người phụ nữ đang thái tỏi.,2.8
Một con lửng đang đào một cái lỗ.,Một con lửng đang đào trái đất.,4.6
Một người phụ nữ đang trượt nước trên hồ.,Một người đàn ông đang thổi sáo.,0.0
Một cô gái đang chơi violin.,Một em bé đang cười và cười khúc khích.,0.25
Một chiếc trực thăng đang hạ cánh trên sân bay trực thăng.,Một chiếc trực thăng hạ cánh.,3.923
Một người phụ nữ đang cắt một con gà.,Một người phụ nữ đang thái thịt.,2.75
Một người phụ nữ đang cắt dưa chuột.,Một người đàn ông đang chơi guitar.,0.0
Một người phụ nữ cưỡi voi trước đám đông yêu mến.,Một người phụ nữ cưỡi voi.,3.0
Một con đang trượt ngược dọc theo sàn nhà.,Một con đang tự đẩy mình về phía sau.,3.8
Một người phụ nữ chẻ tép tỏi.,Một người phụ nữ đang bẻ một đầu tỏi thành đinh hương.,4.6
Một đang nhìn vào bể bơi.,Một đang đi dọc theo mép hồ bơi.,2.6
Một người phụ nữ pha trộn một liệu pháp làm đẹp trong ly.,Một người phụ nữ đang trộn kem trong ly bằng thìa.,3.6
Một người đàn ông đang vẽ một bức tranh.,Một người đang vẽ.,3.6
