,split,genre,dataset,year,sid,score,sentence1,sentence2
25,train,main-captions,MSRvid,2012test,38,4.8,Cậu bé bị ngã khỏi xe đạp.,Một cậu bé bị ngã khỏi xe đạp.
26,train,main-captions,MSRvid,2012test,40,5.0,Người phụ nữ đang thổi sáo.,Một người phụ nữ đang thổi sáo.
27,train,main-captions,MSRvid,2012test,42,4.2,Một con thỏ đang chạy từ một con đại bàng.,Một con thỏ rừng đang chạy từ một con đại bàng.
28,train,main-captions,MSRvid,2012test,44,4.2,Người phụ nữ đang chiên một miếng thịt lợn tẩm bột.,Một người phụ nữ đang nấu một miếng thịt lợn tẩm bột.
29,train,main-captions,MSRvid,2012test,46,4.0,Một cô gái đang thả diều.,Một cô gái đang chạy đang thả diều.
30,train,main-captions,MSRvid,2012test,47,4.0,Một người đàn ông đang cưỡi một cơ khí.,Một người đàn ông cưỡi một cơ khí.
31,train,main-captions,MSRvid,2012test,48,4.909,Người đàn ông đang chơi guitar.,Một người đàn ông đang chơi guitar.
32,train,main-captions,MSRvid,2012test,50,3.0,Một người phụ nữ đang nhảy múa và hát với những người phụ nữ khác.,Một người phụ nữ đang nhảy múa và ca hát trong mưa.
33,train,main-captions,MSRvid,2012test,52,2.4,Một người đàn ông đang cắt một chiếc bánh.,Một người đàn ông đang cắt một củ hành tây.
34,train,main-captions,MSRvid,2012test,53,4.2,Một người đàn ông đang đổ dầu vào chảo.,Một người đàn ông đang đổ dầu vào chảo.
35,train,main-captions,MSRvid,2012test,54,3.4,Một con sư tử đang chơi với mọi người.,Một con sư tử đang chơi với hai người đàn ông.
36,train,main-captions,MSRvid,2012test,55,5.0,Một cưỡi ván trượt.,Một đang cưỡi ván trượt.
37,train,main-captions,MSRvid,2012test,56,3.75,Ai đó đang tạc một bức tượng.,Một người đàn ông đang tạc một bức tượng.
38,train,main-captions,MSRvid,2012test,57,2.75,Một người phụ nữ đang cắt một củ hành tây.,Một người đàn ông đang cắt một củ hành tây.
39,train,main-captions,MSRvid,2012test,58,5.0,Một người phụ nữ bóc vỏ tôm.,Một người phụ nữ đang bóc tôm.
40,train,main-captions,MSRvid,2012test,59,4.0,Một người phụ nữ đang chiên cá.,Một người phụ nữ đang nấu cá.
41,train,main-captions,MSRvid,2012test,61,3.6,Một người phụ nữ đang chơi guitar điện.,Một người phụ nữ đang chơi guitar.
42,train,main-captions,MSRvid,2012test,62,1.6,Một con hổ con đang chơi với một quả bóng.,Một em bé đang chơi với một con búp bê.
43,train,main-captions,MSRvid,2012test,64,1.75,Một người đang cắt một quả cà chua.,Một người đang cắt một ít thịt.
44,train,main-captions,MSRvid,2012test,65,5.0,Một người cắt một củ hành tây.,Một người đang cắt một củ hành tây.
45,train,main-captions,MSRvid,2012test,68,1.0,Một người đàn ông đang chơi piano.,Một người phụ nữ đang chơi violin.
46,train,main-captions,MSRvid,2012test,69,1.0,Một người phụ nữ đang thổi sáo.,Một người đàn ông đang chơi guitar.
47,train,main-captions,MSRvid,2012test,70,2.375,Một người đàn ông đang cắt một củ khoai tây.,Một người đàn ông đang cắt cà rốt.
48,train,main-captions,MSRvid,2012test,71,3.8,Một đứa trẻ đang chơi guitar.,Một cậu bé đang chơi guitar.
49,train,main-captions,MSRvid,2012test,72,3.2,Một cậu bé đang chơi guitar.,Một người đàn ông đang chơi guitar.
50,train,main-captions,MSRvid,2012test,73,3.2,Một người đàn ông đang chơi guitar.,Một cậu bé đang chơi guitar.
51,train,main-captions,MSRvid,2012test,75,4.4,Một cậu bé đang chơi đàn phím.,Một cậu bé đang chơi bảng chìa khóa.
52,train,main-captions,MSRvid,2012test,77,3.75,Một người đàn ông đang chơi guitar.,Một người đàn ông đang chơi guitar điện.
53,train,main-captions,MSRvid,2012test,78,4.75,Một liếm một em bé.,Một đang liếm một em bé.
54,train,main-captions,MSRvid,2012test,80,3.2,Một người phụ nữ đang cắt một củ hành tây.,Một người đàn ông đang cắt và hành tây.
55,train,main-captions,MSRvid,2012test,81,1.556,Một người đàn ông đang chơi guitar.,Một người đàn ông đang chơi trống.
56,train,main-captions,MSRvid,2012test,83,3.938,Một người phụ nữ đang cắt một hạt tiêu.,Một người phụ nữ đang cắt một quả ớt đỏ.
57,train,main-captions,MSRvid,2012test,84,5.0,Một người đàn ông đang chơi trống.,Một người đàn ông chơi trống.
58,train,main-captions,MSRvid,2012test,85,5.0,Một người phụ nữ cưỡi ngựa.,Một người phụ nữ đang cưỡi ngựa.
59,train,main-captions,MSRvid,2012test,86,4.0,Một người đàn ông đang ăn một quả chuối bên một cái cây.,Một người đàn ông đang ăn một quả chuối.
60,train,main-captions,MSRvid,2012test,87,1.6,Một con mèo đang chơi một bảng chìa khóa.,Một người đàn ông đang chơi hai bàn phím.
61,train,main-captions,MSRvid,2012test,89,4.75,Một người đàn ông chặt cây bằng rìu.,Một người đàn ông chặt cây bằng rìu.
62,train,main-captions,MSRvid,2012test,90,3.5,Một đứa trẻ chơi với một chiếc điện thoại đồ chơi.,Một cậu bé chơi với một chiếc điện thoại đồ chơi.
63,train,main-captions,MSRvid,2012test,93,1.4,Một người đàn ông đang đi xe máy.,Một người đàn ông đang cưỡi ngựa.
64,train,main-captions,MSRvid,2012test,94,1.4,Một người đàn ông đang đi xe máy.,Một người đàn ông đang cưỡi ngựa.
65,train,main-captions,MSRvid,2012test,99,4.0,Một con sóc đang quay vòng tròn.,Một con sóc chạy xung quanh trong vòng tròn.
66,train,main-captions,MSRvid,2012test,101,5.0,Một người đàn ông và một người phụ nữ đang hôn nhau.,Một người đàn ông và một người phụ nữ hôn nhau.
67,train,main-captions,MSRvid,2012test,102,3.833,Một người đàn ông đang lên xe.,Một người đàn ông đang lên xe trong gara.
68,train,main-captions,MSRvid,2012test,104,0.6,Một người đàn ông đang nhảy múa.,Một người đàn ông đang nói.
69,train,main-captions,MSRvid,2012test,105,2.917,Một người đàn ông đang chơi guitar và hát.,Một người đàn ông đang chơi guitar.
70,train,main-captions,MSRvid,2012test,106,4.2,Một người đang cắt nấm.,Một người đang cắt nấm bằng dao.
71,train,main-captions,MSRvid,2012test,108,2.0,Một con hổ con đang phát ra âm thanh.,Một con hổ đang đi bộ xung quanh.
72,train,main-captions,MSRvid,2012test,109,2.6,Một người đang cắt hành tây.,Một người đang bóc vỏ hành tây.
73,train,main-captions,MSRvid,2012test,110,1.6,Một người đàn ông đang chơi piano.,Một người đàn ông đang thổi kèn.
74,train,main-captions,MSRvid,2012test,111,2.0,Một người phụ nữ đang gọt vỏ khoai tây.,Một người phụ nữ đang gọt một quả táo.
75,train,main-captions,MSRvid,2012test,112,4.2,Một con gấu trúc đang ăn tre.,Một con gấu trúc đang ăn một ít tre.
76,train,main-captions,MSRvid,2012test,113,2.0,Một người đang bóc vỏ hành tây.,Một người đang gọt vỏ cà tím.
77,train,main-captions,MSRvid,2012test,114,4.8,Một con khỉ đẩy một con khỉ khác.,Con khỉ đẩy con khỉ kia.
78,train,main-captions,MSRvid,2012test,115,4.4,Một con sóc chạy xung quanh trong vòng tròn.,Một con sóc đang di chuyển theo vòng tròn.
79,train,main-captions,MSRvid,2012test,116,5.0,Một người đàn ông đang buộc dây giày.,Một người đàn ông buộc giày.
80,train,main-captions,MSRvid,2012test,117,3.0,Một cậu bé đang hát và chơi piano.,Một cậu bé đang chơi piano.
81,train,main-captions,MSRvid,2012test,118,4.25,Một đang ăn dưa hấu.,Một đang ăn một miếng dưa hấu.
82,train,main-captions,MSRvid,2012test,119,4.25,Một người phụ nữ đang cắt bông cải xanh.,Một người phụ nữ đang cắt bông cải xanh bằng dao.
83,train,main-captions,MSRvid,2012test,120,3.8,Một người đàn ông đang gọt vỏ khoai tây.,Một người đàn ông gọt vỏ khoai tây.
84,train,main-captions,MSRvid,2012test,121,2.4,Một người phụ nữ đang chơi guitar.,Một người đàn ông chơi guitar.
85,train,main-captions,MSRvid,2012test,123,1.6,Một người phụ nữ đang thái cà chua.,Một người đàn ông đang cắt hành tây.
86,train,main-captions,MSRvid,2012test,125,2.0,Một người đàn ông bơi dưới nước.,Một người phụ nữ đang bơi dưới nước.
87,train,main-captions,MSRvid,2012test,126,1.6,Một người đàn ông và một người phụ nữ đang nói chuyện.,Một người đàn ông và một người phụ nữ đang ăn.
88,train,main-captions,MSRvid,2012test,129,4.0,Một nhỏ đang đuổi theo một quả bóng yoga.,Một đang đuổi theo một quả bóng.
89,train,main-captions,MSRvid,2012test,130,2.2,Những người đàn ông đang chơi cricket.,Những người đàn ông đang chơi bóng rổ.
90,train,main-captions,MSRvid,2012test,131,4.4,Một người đàn ông đi xe máy.,Một người đàn ông đi xe máy.
91,train,main-captions,MSRvid,2012test,132,3.6,Một người đàn ông đang chơi guitar.,Một người đàn ông đang hát và chơi guitar.
92,train,main-captions,MSRvid,2012test,133,3.6,Người đàn ông nói chuyện điện thoại.,Người đàn ông đang nói chuyện điện thoại.
93,train,main-captions,MSRvid,2012test,135,0.5,Một người đàn ông đang câu cá.,Một người đàn ông đang tập thể dục.
94,train,main-captions,MSRvid,2012test,136,0.8,Một người đàn ông đang bay lên.,Một người đàn ông đang nói.
95,train,main-captions,MSRvid,2012test,138,0.6,Hai cậu bé đang lái xe.,Hai vịnh đang nhảy múa.
96,train,main-captions,MSRvid,2012test,141,2.6,Một người đàn ông đang cưỡi trên một con ngựa.,Một cô gái đang cưỡi ngựa.
97,train,main-captions,MSRvid,2012test,142,2.0,Một người đàn ông đang đi xe đạp.,Một con khỉ đang đi xe đạp.
98,train,main-captions,MSRvid,2012test,143,2.2,Một người đàn ông đang cắt khoai tây.,Một người phụ nữ đang gọt vỏ khoai tây.
99,train,main-captions,MSRvid,2012test,144,2.4,Một người phụ nữ đang gọt vỏ khoai tây.,Một người đàn ông đang cắt khoai tây.
100,train,main-captions,MSRvid,2012test,145,3.6,Một người đàn ông đang chơi guitar.,Someoen đang chơi guitar.
101,train,main-captions,MSRvid,2012test,148,2.2,Một người phụ nữ đang cắt tỏi tây.,Một người phụ nữ đang cắt gừng.
102,train,main-captions,MSRvid,2012test,149,4.8,Người đàn ông cắt một tấm giấy.,Một người đàn ông đang cắt một tấm giấy.
103,train,main-captions,MSRvid,2012test,151,1.643,Người đàn ông đang chơi guitar.,Một người đàn ông đang thổi sáo.
104,train,main-captions,MSRvid,2012test,152,1.75,Một người đàn ông đang chơi piano.,Người đàn ông đang chơi violin.
105,train,main-captions,MSRvid,2012test,154,2.25,Một người phụ nữ đang cắt một ít thịt.,Một người phụ nữ đang làm bánh mì một ít thịt.
106,train,main-captions,MSRvid,2012test,155,4.0,Một người đàn ông đang chơi trên bàn phím của mình.,Một người đàn ông đang chơi đàn piano keyboard.
107,train,main-captions,MSRvid,2012test,157,4.8,Người phụ nữ băm nhỏ hành lá.,Người phụ nữ cắt một củ hành lá.
108,train,main-captions,MSRvid,2012test,158,3.2,Ai đó đang ngồi mì trong nước.,Một người phụ nữ đang luộc mì trong nước.
109,train,main-captions,MSRvid,2012test,160,4.0,Lionel Richie đang nhảy múa trên trần nhà.,Lionel Ritchie nhảy múa khi đứng trên trần nhà.
110,train,main-captions,MSRvid,2012test,161,4.4,Một người đàn ông đang chơi piano.,Một người đang chơi piano.
111,train,main-captions,MSRvid,2012test,163,4.6,Một người phụ nữ đang thổi sáo.,Một người phụ nữ thổi sáo.
112,train,main-captions,MSRvid,2012test,164,3.8,Một cậu bé đang kiểm tra lịch.,Một cậu bé đang nhìn vào một cuốn lịch.
113,train,main-captions,MSRvid,2012test,165,4.8,Một người phụ nữ đang cắt một củ hành tây.,Một người phụ nữ đang cắt hành tây.
114,train,main-captions,MSRvid,2012test,166,4.857,Một người đàn ông đang chơi guitar.,Một người đàn ông chơi guitar.
115,train,main-captions,MSRvid,2012test,167,5.0,Một người phụ nữ đang sử dụng máy may.,Một người phụ nữ đang may trên máy.
116,train,main-captions,MSRvid,2012test,168,2.533,Một người phụ nữ đang lật bánh kếp.,Một đầu bếp hoạt hình đang lật bánh kếp.
117,train,main-captions,MSRvid,2012test,172,1.0,Một người đàn ông đang chạy trên đường.,Một chiếc ô tô đang lái trên đường.
118,train,main-captions,MSRvid,2012test,175,1.0,Một người đàn ông đang cưỡi trên một con ngựa.,Một người đàn ông đang nói chuyện điện thoại.
119,train,main-captions,MSRvid,2012test,176,2.0,Một người đàn ông đang đi xe đạp.,Một người đàn ông đang cưỡi trên một con ngựa.
120,train,main-captions,MSRvid,2012test,178,0.143,Một người phụ nữ đang nhảy múa.,Một người đàn ông đang ăn.
121,train,main-captions,MSRvid,2012test,179,2.0,Một người đàn ông đang chơi piano.,Một người đàn ông đang thổi sáo.
122,train,main-captions,MSRvid,2012test,180,1.6,Một người đàn ông đang thổi sáo.,Một người đàn ông đang chơi piano.
123,train,main-captions,MSRvid,2012test,182,1.6,Một người đàn ông đang quay.,Một người đàn ông đang nhảy múa.
124,train,main-captions,MSRvid,2012test,184,3.4,Một con khỉ đang đung đưa từ chân tay này sang chi khác.,Một con khỉ đang đu từ cây này sang cây khác.
125,train,main-captions,MSRvid,2012test,185,4.0,Mọi người xuống tàu.,Mọi người xuống tàu tại nhà ga.
126,train,main-captions,MSRvid,2012test,187,4.8,Một đang nhảy trên tấm bạt lò xo.,Một nảy trên tấm bạt lò xo.
127,train,main-captions,MSRvid,2012test,188,2.5,Một cậu bé đang chơi một nhạc cụ.,Một người đàn ông đang chơi kèn.
128,train,main-captions,MSRvid,2012test,190,1.75,Một người phụ nữ chơi guitar.,Một người đàn ông hát và chơi guitar.
129,train,main-captions,MSRvid,2012test,191,1.0,Một người phụ nữ đang chọn một lon.,Một người phụ nữ đang cắt một quả cà chua.
130,train,main-captions,MSRvid,2012test,192,5.0,Một người đàn ông đang trèo lên một sợi dây.,Một người đàn ông trèo lên một sợi dây.
131,train,main-captions,MSRvid,2012test,193,1.4,Một người đàn ông đang nâng một chiếc xe hơi.,Một người đàn ông đang trèo tường.
132,train,main-captions,MSRvid,2012test,195,4.0,Một người đàn ông và một người phụ nữ đang lái xe jeep xuống phố.,Một người đàn ông và một phụ nữ đang lái xe trên đường trong một chiếc xe ngoài trời.
133,train,main-captions,MSRvid,2012test,196,3.8,Người đàn ông cởi trần ngồi trên ghế.,Một người đàn ông cởi trần đang ngồi trên ghế.
134,train,main-captions,MSRvid,2012test,198,4.0,Hai người phụ nữ đang đấu vật.,Hai người phụ nữ đang vật lộn trên sàn nhà.
135,train,main-captions,MSRvid,2012test,199,4.0,con chơi với một quả bóng tennis màu xanh.,Một con đang chơi với một quả bóng tennis.
136,train,main-captions,MSRvid,2012test,200,4.8,Một con kangroo đang ăn một cái gì đó.,Một con kangaroo đang ăn.
137,train,main-captions,MSRvid,2012test,201,0.6,Một con mèo đang chơi piano.,Một người đàn ông đang chơi guitar.
138,train,main-captions,MSRvid,2012test,202,4.75,Người đàn ông dùng dao cắt một ít thảm.,Một người đàn ông đang cắt thảm bằng dao.
139,train,main-captions,MSRvid,2012test,203,2.2,Một người phụ nữ đang đi xe tay ga có động cơ xuống đường.,Một người đàn ông đang đi xe máy.
140,train,main-captions,MSRvid,2012test,204,3.0,Ai đó đang cắt một loại rau.,Ai đó đang cắt một quả cà chua.
141,train,main-captions,MSRvid,2012test,205,0.0,Một người phụ nữ đang nhảy múa.,Một người đàn ông đang nói.
142,train,main-captions,MSRvid,2012test,207,2.2,Một liếm nước dãi của em bé.,Một liếm một em bé.
143,train,main-captions,MSRvid,2012test,208,0.4,Một người đàn ông đang chèo thuyền.,Một người đàn ông đang cắt một quả cà chua.
144,train,main-captions,MSRvid,2012test,210,4.8,Một người đàn ông cắt khoai tây.,Một người đàn ông cắt khoai tây.
145,train,main-captions,MSRvid,2012test,212,4.8,Một người phụ nữ đang băm tỏi.,Người phụ nữ đang thái tỏi.
146,train,main-captions,MSRvid,2012test,214,3.8,Một con vật chạy theo vòng tròn.,Một con sóc chạy theo vòng tròn.
147,train,main-captions,MSRvid,2012test,215,3.0,Một người đàn ông đang chậm rãi đi qua một cây cầu dây.,Một cậu bé đang đi bộ qua một cây cầu.
148,train,main-captions,MSRvid,2012test,216,4.0,Một người đàn ông đang chơi guitar.,Một người đàn ông ngồi trong phòng đang chơi guitar.
149,train,main-captions,MSRvid,2012test,217,5.0,Một người đàn ông thổi sáo.,Một người đàn ông đang thổi sáo.
150,train,main-captions,MSRvid,2012test,221,3.8,Một người phụ nữ đập hai quả trứng vào bát thủy tinh.,Một người phụ nữ đang đập một quả trứng vào bát.
151,train,main-captions,MSRvid,2012test,223,3.0,Một người đàn ông đang cắt một con cá.,Một người đàn ông rút ruột một con cá.
152,train,main-captions,MSRvid,2012test,224,4.4,Hai người đàn ông đang đóng gói vali vào cốp xe.,Những người đàn ông đang đặt vali vào cốp xe.
153,train,main-captions,MSRvid,2012test,226,3.8,Một người đàn ông đổ dầu lên một ít cà chua.,Người đàn ông đổ dầu lên cà chua đã cắt.
154,train,main-captions,MSRvid,2012test,227,3.0,Một người đàn ông đang cắt một cái gì đó.,Một người đàn ông đang cắt một chiếc bánh.
155,train,main-captions,MSRvid,2012test,230,0.667,Một người đàn ông đang chèo xuồng.,Một người đàn ông đang chơi đàn hạc.
156,train,main-captions,MSRvid,2012test,231,4.0,Một người đàn ông và một người phụ nữ đang đi bộ cùng nhau trong rừng.,Một người đàn ông và một người phụ nữ đang tay trong tay đi qua một khu rừng.
157,train,main-captions,MSRvid,2012test,233,3.75,Người phụ nữ nhặt con kangaroo lên.,Một người phụ nữ nhặt một con kangaroo con.
158,train,main-captions,MSRvid,2012test,234,4.133,Cá đang bơi.,Một con cá đang bơi.
159,train,main-captions,MSRvid,2012test,235,4.0,Hai người phụ nữ trộn một cái gì đó trong một bộ xử lý thực phẩm.,Hai người phụ nữ làm một cái gì đó trong máy xay.
160,train,main-captions,MSRvid,2012test,237,3.6,Một người đang lướt một con sóng lớn.,Một người đang lướt sóng.
161,train,main-captions,MSRvid,2012test,238,1.2,Một người đàn ông đang chơi guitar.,Một người đàn ông đang đâm một mục tiêu.
162,train,main-captions,MSRvid,2012test,239,1.6,Một người đàn ông đang thổi sáo trong một ban nhạc.,Một người đàn ông đang chơi guitar.
163,train,main-captions,MSRvid,2012test,240,4.0,Người đàn ông phết bơ lên ổ bánh mì.,Một người đàn ông đang phết bơ lên bánh mì.
164,train,main-captions,MSRvid,2012test,241,4.0,Một người đang luộc mì.,Một người phụ nữ đang luộc mì trong nước.
165,train,main-captions,MSRvid,2012test,243,3.2,Một nhóm người nhảy múa trên một ngọn đồi.,Một nhóm người đang nhảy múa.
166,train,main-captions,MSRvid,2012test,245,1.0,Một người đàn ông đang nhảy múa bên ngoài.,Một người đàn ông đang thổi sáo.
167,train,main-captions,MSRvid,2012test,246,1.0,Một người phụ nữ đang cho một người đàn ông ăn.,Một người phụ nữ đang trộn thịt.
168,train,main-captions,MSRvid,2012test,247,0.6,Một người đàn ông đang đặt chảo vào lò nướng.,Một người phụ nữ đang cắt một củ hành tây.
169,train,main-captions,MSRvid,2012test,249,0.4,Một người phụ nữ đang ngồi ở bàn làm việc.,Một người phụ nữ đang cưỡi lừa.
170,train,main-captions,MSRvid,2012test,250,3.4,Nhân viên y tế vận chuyển một bệnh nhân trên cáng.,Một bác sĩ đưa bệnh nhân lên cáng.
171,train,main-captions,MSRvid,2012test,252,3.6,Một người phụ nữ đang thổi sáo trên sân khấu.,Người phụ nữ đang thổi sáo.
172,train,main-captions,MSRvid,2012test,254,3.0,Hai chú gấu trúc con đang chơi đùa.,Hai con gấu trúc đang nằm cùng nhau.
173,train,main-captions,MSRvid,2012test,256,4.0,Một đứa bé đang cười.,Một em bé đang cười và cười khúc khích.
174,train,main-captions,MSRvid,2012test,257,1.2,Một người đàn ông đang chơi guitar.,Một cậu bé đang chơi piano.
175,train,main-captions,MSRvid,2012test,259,0.6,Một người đàn ông đang gấp giấy.,Một người phụ nữ đang cắt một hạt tiêu.
176,train,main-captions,MSRvid,2012test,260,1.6,Ba người phụ nữ đang nhảy múa.,Người đàn ông đang nhảy múa.
177,train,main-captions,MSRvid,2012test,262,2.6,Những con mèo đang chơi với nhau.,Hai con mèo đang chiến đấu với nhau.
178,train,main-captions,MSRvid,2012test,263,3.6,Một người đang viết.,Một người đang viết bằng bút chì.
179,train,main-captions,MSRvid,2012test,267,3.5,Một người đàn ông đang chạy.,Một người đàn ông đang chạy xuống đường.
180,train,main-captions,MSRvid,2012test,268,3.765,Người phụ nữ đang cán bột.,Một người phụ nữ đang bột và cán bột.
181,train,main-captions,MSRvid,2012test,269,2.75,Một người phụ nữ đang thêm gia vị vào thịt.,Người phụ nữ đang thêm đường vào thịt.
182,train,main-captions,MSRvid,2012test,270,2.25,Một người phụ nữ đang thêm dầu vào cá.,Một người phụ nữ đang đổ nước lên cá.
183,train,main-captions,MSRvid,2012test,271,2.75,Một cậu bé đang cầm một cây đàn guitar.,Một cậu bé đang chơi guitar.
184,train,main-captions,MSRvid,2012test,272,3.8,Một con báo đang chạy.,Một con báo đang chạy trên một cánh đồng.
185,train,main-captions,MSRvid,2012test,273,4.8,Người đàn ông đang ăn pizza.,Một người đàn ông đang ăn một lát bánh pizza.
186,train,main-captions,MSRvid,2012test,274,3.6,Một con đười ươi đang đi xe buýt.,Một con khỉ đang đi trên xe buýt.
187,train,main-captions,MSRvid,2012test,275,1.2,Một người đàn ông và một người phụ nữ nói chuyện trong một quán ăn.,Một người đàn ông và một người phụ nữ đang đi trên một chiếc xe đạp.
188,train,main-captions,MSRvid,2012test,277,0.4,Một người đàn ông đang chơi guitar.,Một người đàn ông đang lau cửa kính.
189,train,main-captions,MSRvid,2012test,278,2.4,Một cô gái đang hát và chơi guitar.,Một chàng trai trẻ đang hát trong khi chơi guitar.
190,train,main-captions,MSRvid,2012test,282,3.941,Một cô gái đang giao tiếp bằng ngôn ngữ ký hiệu.,Một cô gái trẻ đang sử dụng ngôn ngữ ký hiệu.
191,train,main-captions,MSRvid,2012test,283,0.5,Một người phụ nữ đang tập tạ.,Một người phụ nữ đang làm tóc.
192,train,main-captions,MSRvid,2012test,284,3.75,Một người đàn ông đang vào trong xe.,Một người đàn ông lớn tuổi đang bước vào một chiếc xe màu đỏ.
193,train,main-captions,MSRvid,2012test,285,4.0,Một quả bóng lớn màu xanh lá cây làm đổ một củ khoai tây.,Một quả bóng lớn màu xanh lá cây chạm vào một củ khoai tây.
194,train,main-captions,MSRvid,2012test,287,3.0,Một con mèo đang chơi bàn phím.,Một con mèo đang chơi piano.
195,train,main-captions,MSRvid,2012test,288,4.2,Hai bơi trong một hồ bơi.,Chó đang bơi trong hồ bơi.
196,train,main-captions,MSRvid,2012test,290,2.0,Người đàn ông đã dùng dao băm để cắt hành tây.,Người đàn ông đã sử dụng máy để cắt một củ khoai tây.
197,train,main-captions,MSRvid,2012test,291,5.0,Một người phụ nữ cắt đậu phụ.,Một người phụ nữ đang cắt đậu phụ.
198,train,main-captions,MSRvid,2012test,292,3.0,Một đàn hươu đang băng qua đường.,Một đàn caribou đang băng qua đường.
199,train,main-captions,MSRvid,2012test,293,3.8,Người đang cưỡi ngựa.,Một người đàn ông đang cưỡi ngựa.
200,train,main-captions,MSRvid,2012test,294,0.0,Ai đó đang cho một con vật ăn.,Ai đó đang chơi piano.
201,train,main-captions,MSRvid,2012test,295,0.0,Ai đó đang cắt bánh tortila.,Ai đó đang cưỡi ngựa.
202,train,main-captions,MSRvid,2012test,296,0.25,Ai đó đang trộn lẫn các thành tựu.,Ai đó đang may đồ.
203,train,main-captions,MSRvid,2012test,297,4.0,Một con gà trống mổ vào một con chuột chết.,Một con gà đang mổ vào một con chuột chết.
204,train,main-captions,MSRvid,2012test,298,3.25,Một người phụ nữ cầm một con chuột túi.,Một người phụ nữ đang nhặt một con chuột túi.
205,train,main-captions,MSRvid,2012test,299,0.75,Một người đàn ông đang chơi với ếch,Một con mèo đang chơi với một chiếc máy ảnh.
206,train,main-captions,MSRvid,2012test,300,1.5,Hai người đàn ông đang nói chuyện.,Hai người đàn ông đang chơi guitar.
207,train,main-captions,MSRvid,2012test,303,3.5,Một người đàn ông phết bơ lên một miếng bánh mì lớn.,Một người đàn ông đang bôi bơ lên một lát bánh mì tỏi.
208,train,main-captions,MSRvid,2012test,304,3.0,Một người đàn ông đang chạy qua một sợi dây cao.,Một người đàn ông đang chạy trên dây thừng.
